region,OBJECTID,site_ID,AUTHORIZATION_TYPE,company_person,Expiry Date of Lease/Permit/Licence,Cultivation Method,Site Size (HA),species,species_type
New Brunswick,408,MS-1045,Q11,James Labillois DBA Heron Island Oyster Grow,"April 1, 2023","Bottom culture,Off-bottom culture,Suspended culture",5,,Shellfish
New Brunswick,410,MS-0408,Q09,Janie Thibodeau Benoit,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",2.63,,Shellfish
New Brunswick,412,MS-0644,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",2.43,,Shellfish
New Brunswick,414,MS-0829,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",1.34,,Shellfish
New Brunswick,416,MS-0638,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2027",Bottom culture,1.9,,Shellfish
New Brunswick,417,MS-0650,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2031",Bottom culture,0.85,,Shellfish
New Brunswick,420,MS-1431,Q09,Acadian Bay Sea Products Inc.,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",4.96,,Shellfish
New Brunswick,422,MS-1042,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",13.1,,Shellfish
New Brunswick,424,MS-1037,Q09,Linda Robichaud,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",8,,Shellfish
New Brunswick,426,MS-1155,Q09,Samuel Noël,"April 1, 2027",Bottom culture,2.23,,Shellfish
New Brunswick,428,MS-0642,Q09,Ian Breau,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",3.64,,Shellfish
New Brunswick,430,MS-1437,Q09,Reno Benoit et Géraldine Breau,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",9.58,,Shellfish
New Brunswick,432,MS-1436,Q09,Jean-Marc Poirier,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",1.7,,Shellfish
New Brunswick,433,MS-1166,Q11,The Bay of Fundy Oyster Company Inc.,"April 1, 2027",Not Applicable,20,,Shellfish
New Brunswick,435,MS-1284,Q09,Daigle Aquaculture Inc.,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",6.19,,Shellfish
New Brunswick,437,MS-1128,Q09,Emery A. & Sons Oyster Farm Ltd.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",5.03,,Shellfish
New Brunswick,439,MS-1263,Q09,Emery A. & Sons Oyster Farm Ltd.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",4.08,,Shellfish
New Brunswick,441,MS-1231,Q09,Eric Benoit,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",4.46,,Shellfish
New Brunswick,443,MS-0372,Q09,LRRS Enterprise LP,"April 1, 2031","Bottom culture,Off-bottom culture",31.45,,Shellfish
New Brunswick,445,MS-0726,Q09,LRRS Enterprise LP,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",7,,Shellfish
New Brunswick,447,MS-0810,Q09,LRRS Enterprise LP,"April 1, 2034",Bottom culture,4.45,,Shellfish
New Brunswick,449,MS-0811,Q09,LRRS Enterprise LP,"April 1, 2034",Bottom culture,4.05,,Shellfish
New Brunswick,451,MS-0580,Q09,Ginette Richard,"April 1, 2031",Bottom culture,4.33,,Shellfish
New Brunswick,453,MS-0239,Q09,Brandon Michael Milton and Shawn Stright,"April 1, 2031",Bottom culture,8.42,,Shellfish
New Brunswick,455,MS-1420,Q09,LCJ Oyster Aquaculture Inc.,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",6.42,,Shellfish
New Brunswick,457,MS-1409,Q09,Guylaine Bulger and Paula Bulger,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",4.97,,Shellfish
New Brunswick,459,MS-1363,Q09,Jean-Francois Daigle,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",4.16,,Shellfish
New Brunswick,460,MS-1340,Q09,694618 NB INC.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",3.3,,Shellfish
New Brunswick,462,MS-1341,Q09,694618 NB INC.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",3.69,,Shellfish
New Brunswick,465,MS-1362,Q09,Maxime Daigle,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",4.81,,Shellfish
New Brunswick,466,MS-1440,Q09,Aldor Rousselle,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",1.25,,Shellfish
New Brunswick,468,MS-1556,Q09,Aldor Rousselle,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",1.5,,Shellfish
New Brunswick,471,MS-1442,Q09,Stéphane Richardson,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",1.25,,Shellfish
New Brunswick,473,MS-1557,Q09,Stéphane Richardson,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",1.5,,Shellfish
New Brunswick,475,MS-1430,Q09,Patrick LeBreton,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",2.63,,Shellfish
New Brunswick,477,MS-1432,Q09,Patrick LeBreton,"April 1, 2032",Bottom culture,3.8,,Shellfish
New Brunswick,479,MS-0078,Q09,Kevin Yvon Kelly,"April 1, 2028",Bottom culture,3.24,,Shellfish
New Brunswick,483,MS-1555,Q09,David Jones et Nicolas Plourde,"April 1, 2026",Bottom culture,1.21,,Shellfish
New Brunswick,486,MS-0207,Q09,Michel Mazerolle et François Mazerolle,"April 1, 2032",Bottom culture,1.91,,Shellfish
New Brunswick,488,MS-0683,Q09,Nicholas Savoie,"April 1, 2033","Bottom culture,Off-bottom culture,Suspended culture",2.43,,Shellfish
New Brunswick,490,MS-1311,Q09,René Comeau,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",2.5,,Shellfish
New Brunswick,493,MS-1445,Q09,Buctouche MicMac Band,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",4.96,,Shellfish
New Brunswick,494,MS-0919,Q09,King Aquaculture Inc.,"April 1, 2045","Bottom culture,Off-bottom culture",4.86,"2: American oyster,34: Quahog",Shellfish
New Brunswick,498,MS-1273,Q09,3213861 NOVA SCOTIA LIMITED,"April 1, 2032",Bottom culture,8.69,,Shellfish
New Brunswick,500,MS-1348,Q09,King Transfer Ltd.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",4.82,,Shellfish
New Brunswick,502,MS-0167,Q09,Acadian Bay Sea Products Inc.,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",0.81,,Shellfish
New Brunswick,504,MS-1288,Q09,Norm's Oyster Farm Ltd.,"April 1, 2043","Bottom culture,Off-bottom culture,Suspended culture",5,,Shellfish
New Brunswick,506,MS-1287,Q09,Southeast Aquaculture Sud-Est Inc.,"April 1, 2043","Bottom culture,Off-bottom culture,Suspended culture",5.3,,Shellfish
New Brunswick,508,MS-0297,Q09,Denis Doiron,"April 1, 2031",Bottom culture,5.39,,Shellfish
New Brunswick,510,MS-0243,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2025",Bottom culture,1.34,,Shellfish
New Brunswick,513,MS-1306,Q09,Les Huîtres Maroma Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",4.25,,Shellfish
New Brunswick,515,MS-1397,Q09,Les Huîtres Maroma Inc.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",20.11,,Shellfish
New Brunswick,517,MS-0090,Q09,Ernest McGraw,"April 1, 2033","Bottom culture,Off-bottom culture,Suspended culture",3.48,,Shellfish
New Brunswick,518,MS-1333,Q09,Acadian Bay Sea Products Inc.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5.63,,Shellfish
New Brunswick,519,MS-1211,Q09,Jaillet Aquaculture Inc.,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",4.85,,Shellfish
New Brunswick,520,MS-1334,Q09,M.R. JAILLET ENTERPRISES INC.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5.62,,Shellfish
New Brunswick,522,MS-0748,Q09,Aurèle Plourde et Olivier Plourde,"April 1, 2043","Bottom culture,Off-bottom culture,Suspended culture",3.23,,Shellfish
New Brunswick,524,MS-1448,Q09,Michaël Goupil,"April 1, 2043",Bottom culture,7.2,,Shellfish
New Brunswick,526,MS-1101,Q09,R.M.L. PECHE LTEE,"April 1, 2044","Bottom culture,Off-bottom culture,Suspended culture",12.07,,Shellfish
New Brunswick,527,MS-1119,Q09,Steve Robichaud,"April 1, 2034",Bottom culture,2.55,,Shellfish
New Brunswick,528,MS-0611,Q09,Jean-Marc Thibodeau et Jean-Marc Roussel,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",3.68,,Shellfish
New Brunswick,529,MS-0612,Q09,Jean-Marc Thibodeau et Jean-Marc Roussel,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",5.67,,Shellfish
New Brunswick,530,MS-0652,Q09,Tommy Chiasson,"April 1, 2034",Bottom culture,4.17,,Shellfish
New Brunswick,531,MS-1433,Q09,Allison Thibodeau and Cynthia Thibodeau,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",3.27,,Shellfish
New Brunswick,532,MS-1286,Q09,M & R Oyster Farm Inc.,"April 1, 2043","Bottom culture,Off-bottom culture,Suspended culture",2.01,,Shellfish
New Brunswick,534,MS-0038,Q09,Ulysse David,"April 1, 2034",Bottom culture,5.83,,Shellfish
New Brunswick,535,MS-0535,Q09,Daniel Chiasson et Josée Nancy Jones,"April 1, 2034",Bottom culture,1.62,,Shellfish
New Brunswick,536,MS-0891,Q09,Les Huîtres Maroma Inc.,"April 1, 2034","Bottom culture,Off-bottom culture,Suspended culture",1.62,,Shellfish
New Brunswick,537,MS-0015,Q09,ALLAIN AQUACULTURE INC.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",1.62,,Shellfish
New Brunswick,538,MS-1571,Q09,ALLAIN AQUACULTURE INC.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",1.62,,Shellfish
New Brunswick,539,MS-0673,Q09,LES HUÎTRES ROBICHAUD LTÉE / ROBICHAUD OYSTERS LTD,"April 1, 2034",Bottom culture,2.43,,Shellfish
New Brunswick,540,MS-1246,Q09,ALLAIN AQUACULTURE INC.,"April 1, 2026","Off-bottom culture,Suspended culture",8.1,,Shellfish
New Brunswick,541,MS-1240,Q11,EMAX LeBlanc Oyster Farm Inc.,"April 1, 2026","Bottom culture,Off-bottom culture",4.05,,Shellfish
New Brunswick,542,MS-1260,Q11,LITTLE SHEMOGUE OYSTER FARM LTD,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",12.7,,Shellfish
New Brunswick,543,MS-1308,Q09,Koyster Oyster Agriculture Ltd.,"April 1, 2035","Bottom culture,Off-bottom culture,Suspended culture",8.67,,Shellfish
New Brunswick,544,MS-1137,Q09,LES HUÎTRES ROBICHAUD LTÉE / ROBICHAUD OYSTERS LTD,"April 1, 2034","Bottom culture,Off-bottom culture",2.12,,Shellfish
New Brunswick,545,MS-1570,Q09,LRRS Enterprise LP,"April 1, 2034",Bottom culture,10,,Shellfish
New Brunswick,546,MS-0254,Q09,LES HUÎTRES ROBICHAUD LTÉE / ROBICHAUD OYSTERS LTD,"April 1, 2034","Bottom culture,Off-bottom culture,Suspended culture",1.62,,Shellfish
New Brunswick,547,MS-1165,Q09,ALLAIN AQUACULTURE INC.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",8.7,,Shellfish
New Brunswick,548,MS-1435,Q09,Sigenigtog Oyster Inc.,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",5,,Shellfish
New Brunswick,549,MS-1386,Q09,Southeast Aquaculture Sud-Est Inc.,"April 1, 2033","Bottom culture,Off-bottom culture,Suspended culture",4.96,,Shellfish
New Brunswick,550,MS-1066,Q09,R.M.L. PECHE LTEE,"April 1, 2045","Bottom culture,Off-bottom culture,Suspended culture",2.92,,Shellfish
New Brunswick,551,MS-1401,Q09,Dignard Aquaculture Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",3,,Shellfish
New Brunswick,552,MS-1368,Q09,LeBlanc Oyster Bay Ltd.,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",1.7,,Shellfish
New Brunswick,553,MS-1577,Q09,Roger Léger,"April 1, 2034",Bottom culture,0.73,,Shellfish
New Brunswick,554,MS-1185,Q09,Indian Island First Nation,"April 1, 2025",Bottom culture,1.21,,Shellfish
New Brunswick,555,MS-1578,Q09,Indian Island First Nation,"April 1, 2025",Bottom culture,4.61,,Shellfish
New Brunswick,556,MS-1203,Q09,Bastarache Bay Oysters Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",4.38,,Shellfish
New Brunswick,557,MS-1109,Q09,Alexis McGraw et Philippe McGraw,"April 1, 2044","Bottom culture,Off-bottom culture,Suspended culture",4.78,,Shellfish
New Brunswick,558,MS-0397,Q09,Jeff Plourde,"April 1, 2035",Bottom culture,3.12,,Shellfish
New Brunswick,559,MS-1167,Q09,R.M.L. PECHE LTEE,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",12,,Shellfish
New Brunswick,560,MS-1320,Q09,M.R. JAILLET ENTERPRISES INC.,"April 1, 2035","Bottom culture,Off-bottom culture,Suspended culture",10.25,,Shellfish
New Brunswick,561,MS-0884,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2033",Bottom culture,2.4,,Shellfish
New Brunswick,562,MS-0077,Q09,OstreaSilva Ressources & Consultants Inc.,"April 1, 2034",Bottom culture,3.64,,Shellfish
New Brunswick,563,MS-0548,Q09,OstreaSilva Ressources & Consultants Inc.,"April 1, 2034",Bottom culture,5.42,,Shellfish
New Brunswick,564,MS-1259,Q09,OstreaSilva Ressources & Consultants Inc.,"April 1, 2034",Bottom culture,1.7,,Shellfish
New Brunswick,565,MS-1303,Q09,OstreaSilva Ressources & Consultants Inc.,"April 1, 2034",Bottom culture,1.21,,Shellfish
New Brunswick,566,MS-1258,Q09,Allison Thibodeau,"April 1, 2034","Bottom culture,Off-bottom culture,Suspended culture",6,,Shellfish
New Brunswick,567,MS-1202,Q09,Allison Thibodeau,"April 1, 2044","Bottom culture,Off-bottom culture,Suspended culture",4,,Shellfish
New Brunswick,568,MS-0728,Q09,Beaurivage Aquaculture Inc.,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",8.09,,Shellfish
New Brunswick,569,MS-1585,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2035",Bottom culture,5,,Shellfish
New Brunswick,570,MS-1584,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2035",Bottom culture,1.21,,Shellfish
New Brunswick,571,MS-1583,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2035","Bottom culture,Off-bottom culture,Suspended culture",1.21,,Shellfish
New Brunswick,572,MS-1582,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2035","Bottom culture,Off-bottom culture,Suspended culture",1.92,,Shellfish
New Brunswick,573,MS-1581,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2035","Bottom culture,Off-bottom culture,Suspended culture",0.69,,Shellfish
New Brunswick,574,MS-1124,Q09,Reno Benoît,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",5,,Shellfish
New Brunswick,575,MS-0603,Q09,Steve Robichaud,"April 1, 2031",Bottom culture,1.21,,Shellfish
New Brunswick,576,MS-1441,Q09,Aldor Rousselle,"April 1, 2045","Bottom culture,Off-bottom culture,Suspended culture",1.25,,Shellfish
New Brunswick,577,MS-0244,Q09,Michaël Goupil,"April 1, 2028","Bottom culture,Not Applicable,Off-bottom culture,Suspended culture",4.25,,Shellfish
New Brunswick,578,MS-1443,Q09,Stéphane Richardson et Carole Richardson,"April 1, 2045","Bottom culture,Off-bottom culture,Suspended culture",1.25,,Shellfish
New Brunswick,599,MS-0399,Q09,Anaclet Larocque,"April 1, 2028",Not Applicable,6.48,,Shellfish
New Brunswick,600,MS-0402,Q09,Luc Bussière,"April 1, 2030",Not Applicable,5.51,,Shellfish
New Brunswick,601,MS-0421,Q09,Andréa Lebouthillier,"April 1, 2034",Not Applicable,1.21,,Shellfish
New Brunswick,603,MS-0529,Q09,John Todd Murdock,"April 1, 2027",Bottom culture,1.21,,Shellfish
New Brunswick,604,MS-0433,Q09,Roma LeBouthillier,"April 1, 2026",Not Applicable,3.24,,Shellfish
New Brunswick,605,MS-0447,Q09,Albert Doiron,"April 1, 2026",Not Applicable,20.64,,Shellfish
New Brunswick,607,MS-0547,Q09,André Archer,"April 1, 2027",Bottom culture,1.57,,Shellfish
New Brunswick,608,MS-0110,Q09,Cyrille Mallet et Victorin Mallet,"April 1, 2031",Bottom culture,6.07,,Shellfish
New Brunswick,609,MS-0432,Q09,Nicholas Savoie,"April 1, 2031",Bottom culture,3.64,,Shellfish
New Brunswick,611,MS-0565,Q09,Gabriel Plourde,"April 1, 2028",Bottom culture,3.24,,Shellfish
New Brunswick,613,MS-0541,Q09,Jean-Bernard Savoie,"April 1, 2031",Bottom culture,8.1,,Shellfish
New Brunswick,615,MS-0605,Q09,Donald LeBouthillier,"April 1, 2028",Bottom culture,2.02,,Shellfish
New Brunswick,616,MS-0460,Q09,Peter MacEachern,"April 1, 2025",Not Applicable,9.27,,Shellfish
New Brunswick,618,MS-0750,Q09,Roger Benoit,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",6.86,,Shellfish
New Brunswick,619,MS-0010,Q09,Gilles Allain,"April 1, 2030",Bottom culture,0.69,,Shellfish
New Brunswick,621,MS-0628,Q09,Succession Sullivan Savoie,"April 1, 2031",Bottom culture,1.34,,Shellfish
New Brunswick,623,MS-0629,Q09,Nicholas Savoie,"April 1, 2030",Bottom culture,1.21,,Shellfish
New Brunswick,627,MS-0658,Q09,Émile Basque,"April 1, 2027",Not Applicable,16.7,,Shellfish
New Brunswick,629,MS-0662,Q09,Leigh Stright,"April 1, 2031",Bottom culture,7.53,,Shellfish
New Brunswick,632,MS-0787,Q09,Paul Laplante,"April 1, 2031",Bottom culture,2.39,,Shellfish
New Brunswick,634,MS-0789,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",31.26,,Shellfish
New Brunswick,636,MS-0800,Q09,Anaclet Larocque,"April 1, 2026",Bottom culture,1.62,,Shellfish
New Brunswick,638,MS-0741,Q09,Estate William Murdock,"April 1, 2026",Bottom culture,8,,Shellfish
New Brunswick,640,MS-0743,Q09,Ronald Reid,"April 1, 2029","Bottom culture,Off-bottom culture",8,,Shellfish
New Brunswick,642,MS-0749,Q09,Denis N. Thibodeau et Eric Thibodeau,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",8.2,,Shellfish
New Brunswick,644,MS-0890,Q09,Edward Robertson,"April 1, 2026",Bottom culture,2.27,,Shellfish
New Brunswick,646,MS-1059,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2031",Bottom culture,1.21,,Shellfish
New Brunswick,647,MS-0041,Q09,Serge Beaudin,"April 1, 2035",Bottom culture,6.19,,Shellfish
New Brunswick,649,MS-0971,Q09,Shawn A. Stright,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5.78,,Shellfish
New Brunswick,651,MS-0074,Q09,Gaëtan Robichaud,"April 1, 2028",Bottom culture,2.02,,Shellfish
New Brunswick,653,MS-0848,Q09,Roger Léger,"April 1, 2024",Bottom culture,3.24,,Shellfish
New Brunswick,655,MS-0874,Q09,Gaétan Dugas,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",10.53,,Shellfish
New Brunswick,657,MS-0875,Q09,Gaétan Dugas,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",7.37,,Shellfish
New Brunswick,658,MS-0084,Q09,Pea Breau,"April 1, 2029",Bottom culture,1.21,,Shellfish
New Brunswick,659,MS-0088,Q09,Zoël A.. Breau,"April 1, 2031",Bottom culture,2.02,,Shellfish
New Brunswick,660,MS-0324,Q09,Gaëtan Godin,"April 1, 2030",Not Applicable,4.93,,Shellfish
New Brunswick,661,MS-0337,Q09,Claude Blanchard,"April 1, 2029",Not Applicable,3.85,,Shellfish
New Brunswick,662,MS-0120,Q09,La Ferme Ostréicole Chiasson Ltée,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",12.48,,Shellfish
New Brunswick,663,MS-0138,Q09,Kenneth George Clark,"April 1, 2032",Bottom culture,2.83,,Shellfish
New Brunswick,664,MS-0359,Q09,Émile Basque,"April 1, 2029",Not Applicable,1.62,,Shellfish
New Brunswick,665,MS-0153,Q09,Joanne Cormier,"April 1, 2028",Bottom culture,1.62,,Shellfish
New Brunswick,666,MS-0197,Q09,Jules J. Breau,"April 1, 2030",Bottom culture,1.21,,Shellfish
New Brunswick,667,MS-0198,Q09,Yves Despres,"April 1, 2027",Bottom culture,1.21,,Shellfish
New Brunswick,668,MS-0222,Q09,Gaétan Dugas,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",6.64,,Shellfish
New Brunswick,669,MS-0238,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",1.78,,Shellfish
New Brunswick,670,MS-0258,Q09,Louis-Marie Gauthier,"April 1, 2031",Bottom culture,1.62,,Shellfish
New Brunswick,671,MS-0271,Q09,Jean-Camille Gionet,"April 1, 2025",Bottom culture,2.02,,Shellfish
New Brunswick,672,MS-0507,Q09,Jean-Pierre Mercier,"April 1, 2028",Bottom culture,0.93,,Shellfish
New Brunswick,673,MS-0508,Q09,Stéphane Mallet,"April 1, 2025","Bottom culture,Off-bottom culture,Suspended culture",3.81,,Shellfish
New Brunswick,674,MS-0780,Q09,Pea Breau,"April 1, 2031",Bottom culture,4.25,,Shellfish
New Brunswick,675,MS-0540,Q09,Réjean Noël,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",1.62,,Shellfish
New Brunswick,677,MS-0081,Q09,Jules J. Breau,"April 1, 2032",Bottom culture,1.32,,Shellfish
New Brunswick,678,MS-0255,Q09,Louis-Marie Gauthier,"April 1, 2032",Bottom culture,1.21,,Shellfish
New Brunswick,680,MS-0687,Q09,Bruce Wilson,"April 1, 2032",Bottom culture,2.43,,Shellfish
New Brunswick,682,MS-0122,Q09,André Noël,"April 1, 2032",Bottom culture,3.24,,Shellfish
New Brunswick,684,MS-0459,Q09,Joseph B.. Manuel,"April 1, 2032",Bottom culture,2.43,,Shellfish
New Brunswick,685,MS-1110,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2032",Bottom culture,8.83,,Shellfish
New Brunswick,690,MS-0736,Q09,Eric Duguay,"April 1, 2023",Bottom culture,15.64,,Shellfish
New Brunswick,694,MS-0428,Q09,Andréa Lebouthillier,"April 1, 2034",Bottom culture,4.05,,Shellfish
New Brunswick,695,MS-1077,Q09,MAGELLAN AQUA FARMS INC.,"April 1, 2024",Suspended culture,12.9,,Shellfish
New Brunswick,698,MS-0779,Q09,Pierre Robichaud et Bernard Robichaud,"April 1, 2024",Bottom culture,2.02,,Shellfish
New Brunswick,701,MS-0052,Q09,Bruno Roussel,"April 1, 2034","Bottom culture,Off-bottom culture,Suspended culture",2.42,,Shellfish
New Brunswick,703,MS-1161,Q09,Gaétan Dugas,"April 1, 2034","Bottom culture,Off-bottom culture,Suspended culture",6.48,,Shellfish
New Brunswick,704,MS-0961,Q09,Victor Aquaculture Inc.,"April 1, 2034","Bottom culture,Off-bottom culture,Suspended culture",4.85,,Shellfish
New Brunswick,710,MS-0004,Q09,Réal LeBouthillier,"April 1, 2035",Bottom culture,1.62,,Shellfish
New Brunswick,712,MS-0155,Q09,Stephen Morrison,"April 1, 2025","Bottom culture,Off-bottom culture,Suspended culture",4.92,,Shellfish
New Brunswick,714,MS-1179,Q09,Elsipogtog First Nation,"April 1, 2025","Bottom culture,Off-bottom culture",13,,Shellfish
New Brunswick,716,MS-0614,Q09,R.M.L. PECHE LTEE,"April 1, 2035","Bottom culture,Off-bottom culture,Suspended culture",1.21,,Shellfish
New Brunswick,719,MS-0237,Q09,Daniel Doiron,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",6.2,,Shellfish
New Brunswick,720,MS-0061,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",5.75,,Shellfish
New Brunswick,722,MS-0587,Q09,Madone Vienneau,"April 1, 2026",Bottom culture,2.43,,Shellfish
New Brunswick,724,MS-1192,Q09,Zoël A.. Breau,"April 1, 2026",Bottom culture,2.02,,Shellfish
New Brunswick,727,MS-0055,Q09,Maurice Mallet et Diane Landry,"April 1, 2026","Bottom culture,Suspended culture",6.84,,Shellfish
New Brunswick,728,MS-0148,Q09,Maurice Mallet et Diane Landry,"April 1, 2026","Bottom culture,Suspended culture",8.92,,Shellfish
New Brunswick,730,MS-0794,Q09,Maurice Mallet et Diane Landry,"April 1, 2026","Bottom culture,Suspended culture",3.72,,Shellfish
New Brunswick,733,MS-1197,Q09,Huîtres Aquador Inc./ Aquador Oysters Inc.,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",6.25,,Shellfish
New Brunswick,734,MS-0257,Q09,Louis-Marie Gauthier,"April 1, 2026",Bottom culture,2.43,,Shellfish
New Brunswick,736,MS-0256,Q09,Louis-Marie Gauthier,"April 1, 2026",Bottom culture,1.62,,Shellfish
New Brunswick,741,MS-1201,Q09,Bruno Savoie,"April 1, 2027",Bottom culture,3.74,,Shellfish
New Brunswick,743,MS-0013,Q09,Roger Léger,"April 1, 2027",Bottom culture,0.81,,Shellfish
New Brunswick,745,MS-0664,Q09,Joseph B.. Manuel,"April 1, 2027",Bottom culture,7.73,,Shellfish
New Brunswick,748,MS-1220,Q09,Pêcheries Karine G. Ltée,"April 1, 2027",Bottom culture,7.89,,Shellfish
New Brunswick,749,MS-0347,Q09,Roger LeBlanc,"April 1, 2027",Bottom culture,2.23,,Shellfish
New Brunswick,751,MS-0449,Q09,Bertin Joseph. Martin,"April 1, 2027",Bottom culture,1.21,,Shellfish
New Brunswick,753,MS-0356,Q09,Patrice Jean,"April 1, 2028",Bottom culture,0.81,,Shellfish
New Brunswick,755,MS-0099,Q09,Amédée Savoie,"April 1, 2028",Bottom culture,2.02,,Shellfish
New Brunswick,758,MS-1035,Q09,Denis Noël,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",2.3,,Shellfish
New Brunswick,759,MS-0124,Q09,La Ferme Ostréicole Chiasson Ltée,"April 1, 2028",Bottom culture,2.43,,Shellfish
New Brunswick,761,MS-0223,Q09,Marc Cormier,"April 1, 2028",Bottom culture,6.8,,Shellfish
New Brunswick,763,MS-0659,Q09,Shawn A. Stright,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5.1,,Shellfish
New Brunswick,765,MS-0550,Q09,3213861 NOVA SCOTIA LIMITED,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",2.55,,Shellfish
New Brunswick,768,MS-0999,Q09,Jean-Marc Poirier,"April 1, 2028",Bottom culture,3.24,,Shellfish
New Brunswick,771,MS-0370,Q09,King Aquaculture Inc.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",12.99,,Shellfish
New Brunswick,773,MS-0461,Q09,James MacEachern,"April 1, 2028",Bottom culture,4.05,,Shellfish
New Brunswick,776,MS-0598,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",7,,Shellfish
