"species_type","site_ID","license_type","company_person","Operating group","site_name","species","latitude","longitude","location"
"Shellfish","912","Shellfish facility","Sailor Johnson","","False Bay, Lasqueti Island","","49.48467","-124.35168",""
"Shellfish","914","Shellfish facility","Sailor Johnson","","Lasqueti Island, Johnson's Lagoon","","49.48177","-124.35530",""
"Shellfish","915","Shellfish facility","Timothy Oyster Co. Ltd.","","Coffin Point, Stuart Channel","","48.98927","-123.75933",""
"Shellfish","916","Shellfish facility","Timothy Oyster Co. Ltd.","","Degnen Bay, Gabriola Island","","49.13332","-123.71715",""
"Shellfish","922","Shellfish facility","Ronald O. Block and Gary Block","","Squirrel Cove, Cortes Island","","50.11281","-124.90540",""
"Shellfish","923","Shellfish facility","Gregory Kay Williams","","Sansum Narrows, North Cowichan","","48.78882","-123.56409",""
"Shellfish","926","Shellfish facility","Harmony Seafoods Ltd.","","Goliath Bay","","49.82556","-123.95738",""
"Shellfish","927","Shellfish facility","Harmony Seafoods Ltd.","","Granville Bay","","49.83672","-123.99548",""
"Shellfish","928","Shellfish facility","Brent Petkau","","West of Shark Spit, Marina Island","","50.08653","-125.05583",""
"Shellfish","931","Shellfish facility","Island Sea Farms Inc.","","Gorge Harbour, Cortes Island","","50.09910","-124.98287",""
"Shellfish","935","Shellfish facility","Charles Cecil Robinson","","Whaletown Bay","","50.10987","-125.04954",""
"Shellfish","936","Shellfish facility","Island Sea Farms Inc.","","Stove Island","","50.09982","-125.00543",""
"Shellfish","939","Shellfish facility","S & J Fishing Ltd.","","Lasqueti Island","","49.51864","-124.34757",""
"Shellfish","940","Shellfish facility","Joseph McLellan","","Nanoose Bay","","49.26742","-124.17986",""
"Shellfish","945","Shellfish facility","Effingham Oysters Inc","","San Mateo Bay","","48.93778","-124.98433",""
"Shellfish","952","Shellfish facility","Nova Harvest Ltd.","","Dixon Island","","48.85219","-125.11690",""
"Shellfish","958","Shellfish facility","Stephen Nikleva","","Gorge Harbour, Cortes Island","","50.08775","-125.00694",""
"Shellfish","961","Shellfish facility","1302820 B.C. LTD.","","Scottie Bay, Lasqueti Island","","49.51872","-124.33997",""
