site_name,Facility ID,Marine Scotland Site ID,Species,Stage,Facility Type,Number of Facilities,Facility Description,Date Registered,nationalgridreference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,watertype,Health Surveillance,easting,northing,MS Management Area,Region,company,species
Scadabay,10000785,FS1293,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,26-Nov-14,NG164917,Western Isles,Yes,Ashville,Main Street,Tarbert Isle of Harris,HS3 3DJ,,Fish,Seawater,Medium,116400,891700,"5b - SE Lewis, E Harris",Western Isles,Bakkafrost Scotland,Atlantic Salmon
Greanamul,10000863,FS1282,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,23-Dec-13,NF884481,Western Isles,Yes,Loch A Laip,Western Isles,Western Isles,HS7 5QH,,Fish,Seawater,Medium,88400,848100,"7a - Ronay, Benbecula, N South Uist",Western Isles,Bakkafrost Scotland,Atlantic Salmon
Sgian Dubh,10000919,FS1281,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,04-Oct-13,NS079748,Argyll and Bute,Yes,Toward,Argyll,Argyll,PA23 7UJ,,Fish,Seawater,Medium,207900,674800,19b - Kyles of Bute,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Reibinish,10000867,FS1277,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,12-Sep-13,NG189927,Western Isles,Yes,Cuddy Point,Scalpay,Isle of Harris,HS4 3YD,,Fish,Seawater,Medium,118900,892700,"5b - SE Lewis, E Harris",Western Isles,Bakkafrost Scotland,Atlantic Salmon
Gometra,10000922,FS1267,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,12-Nov-12,NM361424,Argyll and Bute,Yes,Ulva Ferry,Argyll,Argyll,PA73 6LY,,Fish,Seawater,Medium,136100,742400,"16a - Tuath, na Keal",Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Raineach,10000370,FS1263,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,19-Jun-12,NG196975,Western Isles,No,Cuddy Point,Scalpay,Isle of Harris,HS4 3YD,,Fish,Seawater,Medium,119600,897500,"5b - SE Lewis, E Harris",Western Isles,Bakkafrost Scotland,Atlantic Salmon
Sgeir Dughall,10000841,FS1262,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,04-May-12,NG770610,Highland,Yes,Kenmore,Ross-shire,,IV54 8XH,,Fish,Seawater,Medium,177000,861000,11a - Torridon,Highland,Bakkafrost Scotland,Atlantic Salmon
Outer Eport,10000766,FS1254,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,06-Oct-11,NF908636,Western Isles,Yes,5 Locheport,Western Isles,Western Isles,HS6 5EX,,Fish,Seawater,Medium,90800,863600,5c - E North Uist,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Plocrapol,10000870,FS1256,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,06-Oct-11,NG184943,Western Isles,Yes,Cuddy Point,Scalpay,Isle of Harris,HS4 3YD,,Fish,Seawater,Medium,118400,894300,"5b - SE Lewis, E Harris",Western Isles,Bakkafrost Scotland,Atlantic Salmon
Uiskevagh,10000832,FS1255,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,06-Oct-11,NF859510,Western Isles,Yes,Kallin Shorebase,Grimsay,North Uist,HS6 5HY,,Fish,Seawater,Medium,85900,851000,"7a - Ronay, Benbecula, N South Uist",Western Isles,Bakkafrost Scotland,Atlantic Salmon
