site_name,Facility ID,Marine Scotland Site ID,Species,Stage,Facility Type,Number of Facilities,Facility Description,Date Registered,nationalgridreference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,watertype,Health Surveillance,easting,northing,MS Management Area,Region,company,species
South Holm ,10000137,FS0962,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,17-Jun-99,HU581985,Shetland,Yes,Uyeasound,Unst,,ZE2 9DL,,Fish,Seawater,Low,458100,1198500,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Wick of Belmont (South),10000121,FS0961,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,17-Jun-99,HU570996,Shetland,No,N/A,,,,,Fish,Seawater,,457000,1199600,,Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Quanterness,10000161,FS0908,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,20-Oct-97,HY432140,Orkney,Yes,Crowness Point,Hatston,"Kirkwall, Orkney",KW15 1GP,,Fish,Seawater,Low,343200,1014000,8b - Central Orkney,Orkney,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Hamars Ness,10000119,FS0904,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,18-Jul-97,HU588949,Shetland,No,N/A,,,,,Fish,Seawater,,458800,1194900,,Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Mula,10000135,FS0896,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,13-May-97,HU569993,Shetland,No,N/A,,,,,Fish,Seawater,Low,456900,1199300,,Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Winna Ness,10000204,FS0871,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,23-May-96,HU599982,Shetland,Yes,Uyeasound,Unst,,ZE2 9DL,,Fish,Seawater,Low,459900,1198200,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Turness,10000208,FS0451,Atlantic Salmon,Broodfish,N/A,1,N/A,01-Aug-95,HU611993,Shetland,Yes,Uyeasound,Unst,,ZE2 9DL,,Fish,Seawater,Medium,461100,1199300,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Lyrawa Bay,10000174,FS0054,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,31-May-95,ND299989,Orkney,Yes,Lyness,Hoy,Orkney,KW16 3NT,,Fish,Seawater,Medium,329900,998900,8c - Scapa Flow,Orkney,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Scarffall Point,10000138,FS0635,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,12-May-93,HY452484,Orkney,No,N/A,,,,,Fish,Seawater,Medium,345200,1048400,,Orkney,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Kirkabister,10000219,FS0802,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,25-Mar-93,HU544949,Shetland,No,N/A,,,,,Fish,Seawater,Low,454400,1194900,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Pegal Bay,10000178,FS0031,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Mar-92,ND302976,Orkney,Yes,Lyness,Hoy,Orkney,KW16 3NT,,Fish,Seawater,Medium,330200,997600,8c - Scapa Flow,Orkney,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Balta Isle,10000194,FS0717,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,16-Oct-91,HP657082,Shetland,Yes,Uyeasound,Unst,,ZE2 9DL,,Fish,Seawater,Medium,465700,1208200,1a - E Unst,Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Sandwick,10000210,FS0710,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,16-Oct-91,HU554961,Shetland,Yes,Yell Shorebase,Mid Yell,,ZE2 9BN,,Fish,Seawater,Medium,455400,1196100,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Djubawick,10000218,FS0656,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,10-Sep-91,HU557933,Shetland,Yes,Yell Shorebase,Mid Yell,,ZE2 9BN,,Fish,Seawater,Low,455700,1193300,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Burrastow,10000148,FS0666,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,05-Sep-91,HU227477,Shetland,Yes,Burrastow Shorebase,Walls,,ZE2 9PD,,Fish,Seawater,Medium,422700,1147700,"3b - Gruting, Vaila, Walls",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Northra Voe,10000120,FS0625,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,15-Jan-91,HU292612,Shetland,No,N/A,,,,,Fish,Seawater,,429200,1161200,,Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
East Aith Voe,10000115,FS0620,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,19-Dec-90,HU349563,Shetland,No,N/A,,,,,Fish,Seawater,N/A,434900,1156300,,Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Kirk Noust,10000184,FS0645,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,08-Jan-90,HY449291,Orkney,Yes,Rousay,,,KW17 2PR,,Fish,Seawater,Medium,344900,1029100,8b - Central Orkney,Orkney,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Meil Bay,10000163,FS0597,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,11-Sep-89,HY485123,Orkney,Yes,Crowness Point,Hatston,"Kirkwall, Orkney",KW15 1GP,,Fish,Seawater,Medium,348500,1012300,8b - Central Orkney,Orkney,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Bay of Cleat (South),10000186,FS0595,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,26-Jul-89,HY470471,Orkney,Yes,N/A,,,,,Fish,Seawater,Low,347000,1047100,8a - Westray,Orkney,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Uyea Isle,10000202,FS0382,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Mar-89,HP594003,Shetland,Yes,Uyeasound,Unst,,ZE2 9DL,,Fish,Seawater,Low,459400,1200300,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Bow of Hascosay,10000212,FS0477,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Jan-89,HU544923,Shetland,Yes,Yell Shorebase,Mid Yell,,ZE2 9BN,,Fish,Seawater,Low,454400,1192300,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Wick of Vatsetter,10000221,FS0407,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Jan-89,HU534902,Shetland,Yes,Yell Shorebase,Mid Yell,,ZE2 9BN,,Fish,Seawater,Low,453400,1190200,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Stead of Aithness,10000146,FS0637,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,19-Dec-88,HU322599,Shetland,Yes,Cooke Aquaculture Scotland Ltd,Aith Pier,Aith Bixter,ZE2 9NB,,Fish,Seawater,Low,432200,1159900,4a - South St Magnus Bay,Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Wick of Belmont,10000196,FS0472,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Jan-88,HP564003,Shetland,Yes,Uyeasound,Unst,,ZE2 9DL,,Fish,Seawater,Medium,456400,1200300,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Bay of Ham,10000180,FS0122,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,29-Dec-87,HY448319,Orkney,No,Rousay,,,KW17 2PR,,Fish,Seawater,Low,344800,1031900,8b - Central Orkney,Orkney,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Carness Bay,10000159,FS0390,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Nov-87,HY469139,Orkney,Yes,Crowness Point,Hatston,"Kirkwall, Orkney",KW15 1GP,,Fish,Seawater,Low,346900,1013900,8b - Central Orkney,Orkney,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Ore Bay,10000118,FS0366,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,20-Jul-87,ND316942,Orkney,No,N/A,,,,,Fish,Seawater,,331600,994200,,Orkney,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Souray,10000117,FS0123,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,04-Jun-87,HY448319,Orkney,No,N/A,,,,,Fish,Seawater,,344800,1031900,,Orkney,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Bastavoe South,10000130,FS0074,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-87,HU530947,Shetland,Yes,Uyeasound,Unst,,ZE2 9DL,,Fish,Seawater,Low,453000,1194700,"1b - S Unst, E Yell, Fetlar",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Cloudin,10000151,FS0088,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,30-Oct-85,HU233475,Shetland,Yes,Burrastow Shorebase,Walls,,ZE2 9PD,,Fish,Seawater,Medium,423300,1147500,"3b - Gruting, Vaila, Walls",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Leravoe,10000116,FS0087,Brown Trout and sea trout,Fish weighing more than 5 grams,N/A,0,N/A,30-Oct-85,HU222482,Shetland,No,N/A,,,,,Fish,Seawater,,422200,1148200,,Shetland,Cooke Aquaculture Scotland Ltd,Brown Trout and sea trout
Holm of Gruting,10000132,FS0166,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,24-Apr-85,HU272476,Shetland,Yes,N/A,,,,,Fish,Seawater,Low,427200,1147600,"3b - Gruting, Vaila, Walls",Shetland,Cooke Aquaculture Scotland Ltd,Atlantic Salmon
Keoldale Kyle of Durness,10005035,SS0893,Flat or native oyster,Shellfish adults/saleable size,N/A,1,N/A,01-Jul-15,NC372666,Highland,Yes,Easter Balfreish,Galcantray,Cawdor Nairn,IV12 5XY,,Shellfish,Seawater,High,237200,966600,Not in a management area,Highland,Cowrie Associates Ltd,Flat or native oyster
Creagan Farm,20002396,SS0543,N/A,N/A,Seawater Trestles or trays,7,,01-Oct-95,NM974446,Argyll and Bute,Yes,Achalic Farm,"Lerags, Oban",Argyll,PA34 4SE,,Shellfish,Seawater,Low,197400,744600,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Creagan Oysters,N/A
South Ardnaclach Farm,10004321,SS0547,Flat or native oyster,Shellfish adults/saleable size,N/A,1,N/A,16-Jun-96,NM948432,Argyll and Bute,Yes,Loch Creran,"nr. North Shian, Appin",Argyll,-,,Shellfish,Seawater,High,194800,743200,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Creran Oysters,Flat or native oyster
Lee of Vollister,10004271,SS0854,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,04-Apr-13,HU466955,Shetland,Yes,N/A,,,,,Shellfish,Seawater,Medium,446600,1195500,Not in a management area,Shetland,Cribba Sound Ltd,Common mussel
Hamnavoe,10004269,SS0705,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,16-Feb-04,HU237802,Shetland,Yes,N/A,,,,,Shellfish,Seawater,Low,423700,1180200,Not in a management area,Shetland,Cribba Sound Ltd,Common mussel
Grink Holm,10004266,SS0526,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,25-Jan-94,HU302595,Shetland,Yes,Cribba Sound,Shetland,,-,,Shellfish,Seawater,Medium,430200,1159500,4a - South St Magnus Bay,Shetland,Cribba Sound Ltd,Common mussel
Croggan Bay,20002367,SS0497,N/A,N/A,Seawater Trestles or trays,4,Repurposed steel walkways,21-Oct-92,NM707273,Argyll and Bute,Yes,New House,"Croggan, Craignure","Isle of Mull, Argyll",PA63 6AH,,Shellfish,Seawater,Low,170700,727300,16c - Loch Spelve,Strathclyde,Croggan Oysters,N/A
Udale Bay (Cromarty Bay),10004100,SS0147,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,16-Dec-85,NH750673,Highland,Yes,"Udale Bay,","Cromarty Firth,",Ross-shire,-,,Shellfish,Seawater,High,275000,867300,Not in a management area,Highland,Cromarty Mussels,Common mussel
Hunterston Terminal -  Fairlie,10004145,SS0228,Manilla Clam,Shellfish juveniles/growers,N/A,1,N/A,01-May-87,NS199543,North Ayrshire,Yes,Yonderfield Farm,"Portencross, West Kilbride",Ayrshire,KA23 9PY,,Shellfish,Seawater,Medium,219900,654300,Not in a management area,Strathclyde,Cumbrae Oysters Ltd.,Manilla Clam
Kildalloig Bay,20002896,SS0807,N/A,N/A,Seawater Trestles or trays,3,,14-May-09,NR753199,Argyll and Bute,No,N/A,,,,,Shellfish,Seawater,Low,175300,619900,Not in a management area,Strathclyde,Davaar Island Oysters,N/A
Etive 6,10001518,FS1288,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,18-Jun-14,NM983341,Argyll and Bute,Yes,Loch Etive Trout Farm,Inverawe,,PA35 1HU,01866 822549,Fish,Seawater,Medium,198300,734100,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Dawnfresh Farming Ltd,Atlantic Salmon
Etive 4,10001519,FS1112,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,27-Jun-08,NM991340,Argyll and Bute,Yes,Loch Etive Trout Farm,Inverawe,,PA35 1HU,01866 822549,Fish,Seawater,Medium,199100,734000,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Dawnfresh Farming Ltd,Atlantic Salmon
Etive 3 (Port na Mine),10001517,FS1101,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,09-Jan-07,NN033331,Argyll and Bute,Yes,Loch Etive Trout Farm,Inverawe,,PA35 1HU,01866 822549,Fish,Seawater,Medium,203300,733100,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Dawnfresh Farming Ltd,Atlantic Salmon
Inverawe (East) Etive 2,10001516,FS1067,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,09-Sep-03,NN026331,Argyll and Bute,Yes,Loch Etive Trout Farm,Inverawe,,PA35 1HU,01866 822549,Fish,Seawater,Medium,202600,733100,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Dawnfresh Farming Ltd,Atlantic Salmon
Inverawe (West) Etive 1,20000990,FS0040,N/A,N/A,Seawater Cages,0,60m circles,01-Jan-93,NN017329,Argyll and Bute,No,N/A,,,,,Fish,Seawater,Low,201700,732900,,Strathclyde,Dawnfresh Farming Ltd,N/A
Templeton Hatchery,20000987,FS0372,N/A,N/A,Freshwater Tanks,0,,14-Feb-92,NT109974,Perth and Kinross,No,N/A,,,,,Fish,Freshwater,High,310900,697400,Not in a management area,Tayside,Dawnfresh Farming Ltd,N/A
Kinnaird Mill Trout,20001006,FS0508,N/A,N/A,Freshwater Tanks,8,5 meter tanks,06-Apr-90,NO629579,Angus,Yes,Dawnfresh Fish Farm,Kinnaird Mill,Kinnaird,DD9 6TY,,Fish,Freshwater,High,362900,757900,Not in a management area,Tayside,Dawnfresh Farming Ltd,N/A
Drummond Trout Farm and Fishery,20000989,FS0179,N/A,N/A,Freshwater ponds,0,,01-May-86,NN755218,Perth and Kinross,No,N/A,,,,,Fish,Freshwater,Low,275500,721800,,Central,Dawnfresh Farming Ltd,N/A
Braevallich Farm,10006575,FS0260,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,11-Dec-85,NM955080,Argyll and Bute,Yes,Braevallich Farm,By Dalmally,Argyll,PA33 1BU,,Fish,Freshwater,High,195500,708000,Not in a management area,Strathclyde,Dawnfresh Farming Ltd,Atlantic Salmon
Frandy,20000997,FS0551,N/A,N/A,Freshwater Tanks,6,30ftD  1m deep,14-Oct-85,NN947047,Perth and Kinross,Yes,Frandy Hatchery,Glen Devon,,FK14 7JZ,,Fish,Freshwater,Medium,294700,704700,Not in a management area,Tayside,Dawnfresh Farming Ltd,N/A
St Mungos,20000993,FS0552,N/A,N/A,Freshwater Tanks,16,4m3 tanks,14-Oct-85,NN936075,Perth and Kinross,Yes,Frandy Hatchery,Glen Devon,,FK14 7JZ,,Fish,Freshwater,High,293600,707500,Not in a management area,Tayside,Dawnfresh Farming Ltd,N/A
Loch Earn,20000991,FS0180,N/A,N/A,Freshwater cages,17,"5x 8mx8m plastic squares  6x50m plastic circles
 6x60m circle",01-Sep-84,NN620240,Perth and Kinross,Yes,Ardveich Bay,Perthshire,Perthshire,FK19 8PZ,,Fish,Freshwater,High,262000,724000,Not in a management area,Tayside,Dawnfresh Farming Ltd,N/A
Tervine,10006576,FS0268,Atlantic Salmon,Salmon freshwater stages,N/A,1,N/A,01-Jan-78,NN080264,Argyll and Bute,Yes,"Tervine, Kilchrenan",Argyll,Argyll,PA33 1HE,,Fish,Freshwater,High,208000,726400,Not in a management area,Strathclyde,Dawnfresh Farming Ltd,Atlantic Salmon
Killiemore,10004058,SS0920,Common mussel,Shellfish spat,N/A,1,N/A,12-Jul-18,NM508291,Argyll and Bute,Yes,Inverlussa,Craignure,,PA65 6BD,,Shellfish,Seawater,Low,150800,729100,Not in a management area,Strathclyde,Douglas Wilson,Common mussel
Sgeir Mhic Chomheinn,10004056,SS0628,Common mussel,Shellfish juveniles/growers,N/A,0,N/A,20-Mar-01,NM711390,Argyll and Bute,No,N/A,,,,,Shellfish,Seawater,,171100,739000,,Strathclyde,Douglas Wilson,Common mussel
Loch Spelve,10004059,SS0065,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,29-Nov-85,NM703296,Argyll and Bute,Yes,"Isle of Mull,",Argyll,,-,,Shellfish,Seawater,Low,170300,729600,16c - Loch Spelve,Strathclyde,Douglas Wilson,Common mussel
Site 1,20002302,SS0301,N/A,N/A,Seawater Trestles or trays,50,,12-Dec-88,NM773159,Argyll and Bute,Yes,Balvicar Farm,Balvicar,"Oban, Argyll",PA34 4TE,,Shellfish,Seawater,Low,177300,715900,16d - Seil Sound to Loch Craignish,Strathclyde,Druim Oysters,N/A
Kallee Ness,10004653,SS0878,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,17-Apr-14,HU393353,Shetland,Yes,Sained,"Eastvoe, Scalloway",,ZE1 0US,,Shellfish,Seawater,Medium,439300,1135300,3a - SW Shetland mainland,Shetland,Eastvoe Shellfish,Common mussel
Easterdale,10004658,SS0819,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,30-Jun-10,HU382353,Shetland,Yes,Sained,"Eastvoe, Scalloway",,ZE1 0US,,Shellfish,Seawater,Medium,438200,1135300,3a - SW Shetland mainland,Shetland,Eastvoe Shellfish,Common mussel
Whalsies Ayre,10004664,SS0805,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,16-Jan-09,HU384349,Shetland,Yes,Sained,"Eastvoe, Scalloway",,ZE1 0US,,Shellfish,Seawater,Medium,438400,1134900,3a - SW Shetland mainland,Shetland,Eastvoe Shellfish,Common mussel
Holm of Brough,10004656,SS0749,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,16-Sep-05,HU386356,Shetland,Yes,Sained,"Eastvoe, Scalloway",,ZE1 0US,,Shellfish,Seawater,Medium,438600,1135600,3a - SW Shetland mainland,Shetland,Eastvoe Shellfish,Common mussel
Whale Back Skerry,10005275,SS0751,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,16-Sep-05,HU382388,Shetland,Yes,Sained,"Eastvoe, Scalloway",,ZE1 0US,,Shellfish,Seawater,Low,438200,1138800,3a - SW Shetland mainland,Shetland,Eastvoe Shellfish,Common mussel
Burra Holm,10004666,SS0700,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,26-Sep-03,HU384456,Shetland,Yes,Sained,"Eastvoe, Scalloway",,ZE1 0US,,Shellfish,Seawater,Medium,438400,1145600,3a - SW Shetland mainland,Shetland,Eastvoe Shellfish,Common mussel
Langsound,10004660,SS0674,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,30-Jul-02,HU380342,Shetland,Yes,Sained,"Eastvoe, Scalloway",,ZE1 0US,,Shellfish,Seawater,Medium,438000,1134200,3a - SW Shetland mainland,Shetland,Eastvoe Shellfish,Common mussel
South of Whalwick,10004651,SS0673,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,30-Jul-02,HU402362,Shetland,Yes,Sained,"Eastvoe, Scalloway",,ZE1 0US,,Shellfish,Seawater,Medium,440200,1136200,3a - SW Shetland mainland,Shetland,Eastvoe Shellfish,Common mussel
Booth,10004663,SS0622,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,23-Jan-01,HU402379,Shetland,Yes,Sained,"Eastvoe, Scalloway",,ZE1 0US,,Shellfish,Seawater,Medium,440200,1137900,3a - SW Shetland mainland,Shetland,Eastvoe Shellfish,Common mussel
University of Edinburgh Fish Facility,10006543,FS1090,Aquarium spp (Amphibian) - non-sus,Fish weighing less & inc 5 grams,N/A,1,N/A,29-Nov-05,NT289704,City of Edinburgh,No,The Queens Medical Research Institute,47 Little France Crescent,,EH16 4TJ,,Fish,Freshwater,High,328900,670400,Not in a management area,Lothian,Edinburgh University,Aquarium spp (Amphibian) - non-sus
Loch na Droma Buidhe,10005384,SS0974,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,03-Aug-23,NM592582,Highland,Yes,Garvan Glen,Garvan,,PH33 7AW,,Shellfish,Seawater,Low,159200,758200,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Fass Fern Mussels,Common mussel
Eilean mo Shlinneag,10004475,SS0939,Common mussel,All stages,N/A,1,N/A,03-Dec-20,NM726620,Highland,Yes,Garvan Glen,Garvan,,PH33 7AW,,Shellfish,Seawater,Low,172600,762000,Not in a management area,Highland,Fass Fern Mussels,Common mussel
Sron na Saobhaidh,10004470,SS0918,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,11-Jun-18,NM786609,Highland,Yes,Garvan Glen,Garvan,,PH33 7AW,,Shellfish,Seawater,Low,178600,760900,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Fass Fern Mussels,Common mussel
Liddesdale,10004467,SS0832,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,15-Aug-11,NM782600,Highland,Yes,Garvan Glen,Garvan,,PH33 7AW,,Shellfish,Seawater,Low,178200,760000,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Fass Fern Mussels,Common mussel
Camas a Chuilinn,10004464,SS0818,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,26-Apr-10,NN048693,Highland,Yes,Garvan Glen,Garvan,,PH33 7AW,,Shellfish,Seawater,Low,204800,769300,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Fass Fern Mussels,Common mussel
Garvan,10004476,SS0801,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,08-Sep-08,NM998778,Highland,Yes,Garvan Glen,Garvan,,PH33 7AW,,Shellfish,Seawater,Low,199800,777800,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Fass Fern Mussels,Common mussel
Stronchreggan,10004459,SS0761,Common mussel,Shellfish adults/saleable size,N/A,0,N/A,04-May-06,NN078726,Highland,No,N/A,,,,,Shellfish,Seawater,Low,207800,772600,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Fass Fern Mussels,Common mussel
Loch Eil (Fass Fern),10004462,SS0613,Common mussel,Shellfish juveniles/growers,N/A,0,N/A,28-Nov-00,NN038782,Highland,Yes,Garvan Glen,Garvan,,PH33 7AW,,Shellfish,Seawater,Low,203800,778200,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Fass Fern Mussels,Common mussel
Faingmor Bay,10004253,SS0490,King scallop,Shellfish adults/saleable size,N/A,1,N/A,04-Aug-92,NG730604,Highland,Yes,Fearnmore ,Loch Torridon,,-,,Shellfish,Seawater,Low,173000,860400,11a - Torridon,Highland,Fearnmore Shellfish,King scallop
Forgue,10000985,FS0511,Arctic Charr,Fish weighing more than 5 grams,N/A,0,N/A,08-May-90,NJ622458,Aberdeenshire,Yes,Forgue Fish Farm,Inverkeithney,,AB5 47XD,,Fish,Freshwater,Medium,362200,845800,Not in a management area,Grampian,Forgue Fish Farm,Arctic Charr
Forth Foods 1 Tilapia Rearing,20001184,FS1329,N/A,N/A,Freshwater Tanks,2,Fibreglass tank ca 400L volume,15-Jan-19,NT562774,East Lothian,No,Markle Mains Farm,East Fortune,East Lothian,EH40 3EB,,Fish,Freshwater,Low,356200,677400,Not in a management area,Lothian,Forth Foods Ltd,N/A
Site 1,10004167,SS0286,Common mussel,Shellfish juveniles/growers,N/A,0,N/A,18-Jul-88,NS052822,Argyll and Bute,Yes,"Loch Striven,",Argyll,,-,,Shellfish,Seawater,Low,205200,682200,19b - Kyles of Bute,Strathclyde,Francis McGhee,Common mussel
Islay,10004229,SS0452,Flat or native oyster,Shellfish juveniles/growers,N/A,1,N/A,30-Nov-90,NR296704,Argyll and Bute,Yes,Loch Gruinart,,,-,,Shellfish,Seawater,High,129600,670400,Not in a management area,Strathclyde,G. & J. Archibald,Flat or native oyster
The Lobster Ponds,10004875,SS0820,European lobster,Shellfish adults/saleable size,N/A,0,N/A,03-Aug-10,NG804750,Highland,No,Port Na Haile - The Lobster Ponds,Pier Road,,IV21 2BQ,,Shellfish,Seawater,Low,180400,875000,Not in a management area,Highland,Gairloch Shellfish Ltd,European lobster
South of Houss Holm,10004528,SS0658,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,12-Feb-02,HU374308,Shetland,Yes,Houss,Burra,,ZE2 9LE,,Shellfish,Seawater,Low,437400,1130800,3a - SW Shetland mainland,Shetland,George Duncan (Shellfish) Ltd,Common mussel
Drumyeonmore Bay,20002729,SS0908,N/A,N/A,Seawater Trestles or trays,50,,09-May-17,NR656500,Argyll and Bute,Yes,Gallochoille,Argyll,Argyll,PA41 7AD,,Shellfish,Seawater,Medium,165600,650000,18b - Gigha,Strathclyde,Gigha Oysters,N/A
East Tarbert Bay,20002731,SS0822,N/A,N/A,Seawater Trestles or trays,20,,13-Sep-10,NR657522,Argyll and Bute,Yes,Gallochoille,Argyll,Argyll,PA41 7AD,,Shellfish,Seawater,Medium,165700,652200,18b - Gigha,Strathclyde,Gigha Oysters,N/A
Glen Orrin Fish Farm,20000679,FS0544,N/A,N/A,Freshwater Tanks,1,mix of 3m and 2m Tanks,07-Jun-90,NH504531,Highland,Yes,Orrin Bridge,Ross-shire,Ross-shire,IV6 7UL,,Fish,Freshwater,Medium,250400,853100,Not in a management area,Highland,Glen Orrin Fish Farm,N/A
Lower Loch Leven,10004197,SS0408,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,01-Feb-94,NN071591,Highland,Yes,Loch Leven,Lochaber,Argyll,-,,Shellfish,Seawater,Low,207100,759100,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Glencoe Shellfish,Common mussel
