site id,name,site status,approval date,approval type,site capacity,temporary_capacity,capacity_unit_type,placement,water_type,site_details,county,municipality_id,municipality,production_area_code,latitude,longitude,symbol,species,company,site_url,external_site_url,permits,purpose,production_method
12789,GUNNARØYA,KLARERT,13/09/1995 22:00,PERMANENT,6240,6240,TN,SJØ,Marine,12789 GUNNARØYA,TRØNDELAG,5059,ORKLAND,6,63.569483,9.467983,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/12789,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/12789,"ST-F-0031, ST-SI-0015, ST-SI-0016, ST-F-0023, ST-F-0022, ST-F-0030, ST-SI-0001, ST-F-0003",KOMMERSIELL,Matfisk
12871,HOGSNES,KLARERT,03/05/1999 22:00,PERMANENT,3120,3120,TN,SJØ,Marine,12871 HOGSNES,MØRE OG ROMSDAL,1554,AVERØY,6,63.093033,7.675883,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/12871,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/12871,"M-SM-0008, M-N-0006",KOMMERSIELL,Matfisk
12890,HØYBUVIKA,KLARERT,06/08/1997 22:00,PERMANENT,2340,2340,TN,SJØ,Marine,12890 HØYBUVIKA,MØRE OG ROMSDAL,1557,GJEMNES,6,62.957167,8.049167,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/12890,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/12890,"M-FI-0006, M-FI-0004, M-AV-0008, M-FI-0005, M-FI-0003",KOMMERSIELL,Matfisk
12892,SJØLSVIK,KLARERT,11/04/1995 22:00,PERMANENT,2340,2340,TN,SJØ,Marine,12892 SJØLSVIK,MØRE OG ROMSDAL,1557,GJEMNES,6,62.9066,8.11095,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/12892,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/12892,"M-FI-0006, M-FI-0004, M-FI-0005, M-FI-0003",KOMMERSIELL,Matfisk
12895,HALSBUKTA,KLARERT,28/06/1995 22:00,PERMANENT,4680,4680,TN,SJØ,Marine,12895 HALSBUKTA,MØRE OG ROMSDAL,1560,TINGVOLL,6,63.077867,8.143283,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/12895,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/12895,"M-SM-0008, M-N-0006",KOMMERSIELL,Matfisk
13570,ULVÆRHOLMEN,KLARERT,05/11/2000 23:00,PERMANENT,3120,3120,TN,SJØ,Marine,13570 ULVÆRHOLMEN,TRØNDELAG,5056,HITRA,6,63.598217,9.116583,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/13570,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/13570,"ST-HE-0011, ST-HE-0001, ST-H-0019, ST-H-0022",KOMMERSIELL,Matfisk
13572,BADSTUVIKA,KLARERT,09/05/2001 22:00,PERMANENT,5460,5460,TN,SJØ,Marine,13572 BADSTUVIKA,TRØNDELAG,5056,HITRA,6,63.533983,9.1469,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/13572,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/13572,"ST-F-0031, ST-H-0046, ST-H-0027, ST-SI-0001, ST-HE-0011, ST-HE-0001",KOMMERSIELL,Matfisk
14041,EDØYA,KLARERT,22/01/2002 23:00,PERMANENT,3900,3900,TN,SJØ,Marine,14041 EDØYA,TRØNDELAG,5056,HITRA,6,63.65835,8.694417,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/14041,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/14041,"ST-H-0011, ST-SI-0013, ST-SI-0012, ST-H-0045, ST-H-0003, ST-H-0002",KOMMERSIELL,Matfisk
19115,FUGLØYA,KLARERT,13/04/2003 22:00,PERMANENT,6240,6240,TN,SJØ,Marine,19115 FUGLØYA,TRØNDELAG,5056,HITRA,6,63.475917,9.109833,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/19115,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/19115,"ST-H-0046, ST-SI-0015, ST-SI-0013, ST-SI-0016, ST-SI-0012, ST-H-0027, ST-H-0018, ST-H-0010",KOMMERSIELL,Matfisk
19855,SEGELRÅA,KLARERT,29/06/2003 22:00,PERMANENT,4680,4680,TN,SJØ,Marine,19855 SEGELRÅA,MØRE OG ROMSDAL,1576,AURE,6,63.149745,8.12855,"Matfisk laks, ørret, regnbueørret","Laks, Regnbueørret, Ørret",LERØY MIDT SJØ AS,https://sikker.fiskeridir.no/aquareg/web/sites/19855,https://sikker.fiskeridir.no/akvakulturregisteret/web/sites/19855,"M-HS-0004, M-MD-0013",KOMMERSIELL,Matfisk
