# Section: Map of landbased aquaculture in British Columbia
# Caption: Landbased aquaculture facilities in British Columbia
# Rows: 71
"Facility reference number","Licence type","Licence holder","Facility common name","Latitude","Longitude"
"7113","Landbased facility","Tree To Me Organics Inc.","Tree To Me Agricultural Products Inc.","49.23330","-119.82435"
"7373","Landbased facility","Baynes Sound Oyster Co. Ltd.","5848 Island Hwy South, Union Bay","49.5670433","-124.87627"
"7593","Landbased facility","Hummingbird Cove Lifestyles Ltd","Hummingbird Cove, BC","49.78255","-124.18508"
"7793","Landbased facility","Jeff Kier","Sunshine Coast Aquaphonics","49.7757333","-124.3807333"
"8093","Landbased facility","Emerald Holdings Ltd.","Emerald Acres Organic Farm, ""Oyster River""","49.88088","-125.13308"
"9329","Landbased facility","Habitat Farms Ltd.","Deepwater","50.82167","-119.55333"
"9429","Landbased facility","EDP Enterprises Inc.","Winlaw","50.82167","-119.55333"
"9569","Landbased facility","Living Waters Koi&Aqua Farm Ltd.","Living Waters Koi&Aqua Farm Ltd.","51.60145","-119.92082"
"9831","Landbased facility","Upper Fraser Indigenous Sustainable Harvesters Association","UFISH","52.10573","-121.99885"
"10150","Landbased facility","Gold River Aquafarms Ltd.","Gold River Mill","49.68079","-126.12523"
